PodcastName,Epizoda,EpisodeUUID,Měsíc,RedCircle_Downloads,PodcastUUID
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 2: Boží prsty,aa4da08d-577e-4bf3-900b-35c80315cda0,2025-10,10,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 2: Slavnost v Kanálské zahradě,c04589e0-5d72-45a1-937d-be65724f8dcb,2025-10,9,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 1: O kapli Betlémské,e3b6ad25-148c-4c30-b524-33817ff66c32,2025-10,9,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 3: O tandlmarku,b57af140-da5b-438c-9659-1c310485c1d7,2025-10,7,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 3.,429d8e29-e6fa-4b15-9e9f-949763c01147,2025-10,6,122228e9-4fc6-4674-b257-cf90262939ea
Mariánská listování,Mariánská listování s Helenou Koutnou - 2. díl,481319cd-fc9f-47c5-b7af-64eba9b194ad,2025-10,6,0fe8348e-fbb1-43d1-afd5-a519d36aaac9
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 10: Dva starobylé domy malostranské,accf8bce-195c-4dc7-b124-fdf8c189202f,2025-10,6,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 2.,f5e96d47-2ba1-44f3-8d86-c8512d43b060,2025-10,6,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 3: Chocholouš,0eb99b19-0715-4fe2-bba7-2958ad5d9ada,2025-10,5,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 5: Němá láska poručíka Klanga,4209e9c9-a742-4bb9-aa0f-0cbf564707aa,2025-10,5,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 11: Židovský průvod,8b9f9b08-0b6c-49bd-9d41-6bbe607e1bf9,2025-10,5,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 9: Jak vraždila rakouská byrokracie naše nejlepší lidi,ccbd1c14-b473-4111-95ec-1d17f0c9f3a2,2025-10,5,122228e9-4fc6-4674-b257-cf90262939ea
Pestrá země,"Literatura, jazyky a cestování – Miroslav Černý | Pestrá země",1e35eaed-a4a2-4b51-87d4-5a921373ad6c,2025-10,4,db34815d-cb0d-4955-b702-876ab545034b
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 7: Podivuhodný příběh Karla Straširybky,1f86e73e-0b20-45ff-9bee-0c3ad22f9f97,2025-10,4,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 6: Plavba paní Suchánkové do Ameriky,44749a82-adc5-4b10-980a-495efd4280c6,2025-10,4,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 4.,454f6d65-7539-42bc-97ff-62888dd0f2e5,2025-10,4,122228e9-4fc6-4674-b257-cf90262939ea
Mariánská listování,Mariánská listování s Evou Chodějovskou - 4. díl,07ac3070-cf95-450e-85a4-1d4803850da1,2025-10,3,0fe8348e-fbb1-43d1-afd5-a519d36aaac9
Mariánská listování,Mariánská listovaní s Kristýnou Kůstkovou - 1. díl,59602ff3-cd19-4174-b7b8-0b40a7f1ee32,2025-10,3,0fe8348e-fbb1-43d1-afd5-a519d36aaac9
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 8: Duch nebožtíka Hroudy,f4142b89-77e3-4a1c-bd30-6b37f4fc2cbb,2025-10,3,122228e9-4fc6-4674-b257-cf90262939ea
Mariánská listování,Mariánská listování s Janem Smigmatorem - 7. díl,29b70906-88e4-46c0-97ef-8c02fdc4f4b2,2025-10,2,0fe8348e-fbb1-43d1-afd5-a519d36aaac9
Mariánská listování,Mariánská listování s Ivanou Bozděchovou - 3. díl,be4eb0f9-6272-4491-8102-a50f38d1ad76,2025-10,2,0fe8348e-fbb1-43d1-afd5-a519d36aaac9
Mariánská listování,Mariánská listování: Česká škola v Chicagu - 5. díl,d53a5106-02d1-4f85-a08f-024bc2595c2a,2025-10,2,0fe8348e-fbb1-43d1-afd5-a519d36aaac9
Mariánská listování,Mariánská listování  s Pavlem Suchanem - 8. díl,b52a7f74-48a4-4651-8f47-da4d65901628,2025-10,1,0fe8348e-fbb1-43d1-afd5-a519d36aaac9
Historie mezi řádky,Byl Adolf Hitler komunista?,b25a9d89-fa4f-43f5-bc61-8926cda60cc7,2025-11,220,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Samostatná Ukrajina,f517b010-08fa-4162-90aa-c6f0cc69dc68,2025-11,170,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Temná druhá republika,b2b1e1b1-46e9-4a2d-958a-4c1350904546,2025-11,132,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Nacistická propaganda v ČSR,26db35ae-e0cb-4aef-a97d-58071ae3ef55,2025-11,123,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Poslední svobodné volby,e5c42804-be3d-469b-a5a9-06d18754694b,2025-11,117,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
